tempo_na_empresa,nivel_na_empresa,salario_em_reais
71,8,4638.97
106,9,12428.71
113,3,15038.9
54,2,2721.53
67,1,3835.41
48,3,2179.75
24,10,1440.92
42,9,2155.8
25,8,1465.75
9,8,1087.58
84,8,6691.37
38,8,1950.64
93,4,8422.14
98,4,9594.37
85,7,6801.95
72,5,4620.77
104,1,11435.6
102,6,10912.92
67,5,3976.73
84,7,6623.82
67,3,3936.84
58,6,3201.56
61,8,3406.28
71,8,4698.78
4,10,1048.58
86,6,6947.1
105,1,11798.73
119,10,18301.92
93,2,8233.98
21,1,929.96
28,8,1669.66
9,8,1097.32
117,2,16866.41
98,4,9657.96
44,4,2069.99
102,8,11072.78
10,7,1044.6
78,4,5419.45
78,9,5581.09
118,3,17482.35
58,2,2899.58
101,6,10641.47
4,7,947.09
10,6,975.2
33,3,1508.69
66,2,3786.44
88,4,7226.16
68,6,4157.13
77,6,5358.62
41,6,2040.02
56,2,2754.14
46,4,2187.66
5,7,1015.84
62,8,3649.72
61,2,3237.3
24,3,1062.42
42,6,2179.34
104,10,11826.37
21,6,1132.28
11,1,686.7
37,10,2088.76
10,8,1099.84
120,10,18923.23
77,9,5474.98
8,5,861.43
84,8,6581.06
96,2,8993.53
103,10,11470.08
29,5,1421.9
21,6,1190.15
53,6,2792.9
31,10,1739.17
52,5,2633.02
4,6,894.03
25,6,1363.67
60,9,3477.85
98,10,9972.79
94,10,8779.96
93,1,8143.44
59,6,3261.06
69,10,4452.09
54,4,2803.74
64,10,3888.77
82,1,5974.96
118,6,17513.28
17,6,1178.62
57,5,2936.81
35,7,1671.98
75,4,5016.46
17,6,1149.18
8,9,1064.84
56,2,2794.14
8,8,1003.45
46,4,2185.05
1,2,617.31
40,1,1766.4
23,10,1538.14
60,10,3383.35
68,7,4210.83
67,2,3781.65
102,8,10959.03
108,4,12964.82
58,2,2973.93
76,7,5245.98
3,6,846.36
33,1,1517.16
25,6,1355.47
80,1,5514.31
92,10,8386.62
17,7,1129.99
81,8,6059.99
66,8,3924.47
35,8,1824.53
47,4,2279.32
73,7,4779.7
2,8,954.8
48,8,2469.82
84,8,6654.51
43,1,1857.99
66,2,3745.61
92,1,7997.13
94,3,8496.2
38,9,1962.85
32,8,1744.3
23,1,1050.05
80,10,6034.22
16,8,1210.53
97,6,9395.49
70,7,4341.7
48,10,2570.74
48,8,2584.1
101,5,10544.25
107,5,12641.99
108,10,13227.88
87,10,7334.33
32,5,1569.76
45,3,1999.05
69,8,4328.38
44,5,2068.15
99,3,9850.85
65,4,3748.3
105,8,12124.85
20,7,1227.2
42,9,2214.56
59,7,3304.53
14,10,1295.63
112,2,14546.8
49,5,2454.91
19,9,1360.32
7,6,862.84
25,8,1406.24
55,1,2626.93
72,3,4468.08
113,7,15199.46
4,2,710.15
32,10,1807.79
83,2,6145.85
100,2,10080.31
108,3,12917.34
92,1,7985.78
2,8,962.36
48,2,2133.1
68,3,3975.98
54,5,2786.73
73,9,4878.66
104,1,11348.56
36,3,1574.01
53,2,2553.09
100,6,10423.56
9,7,932.45
32,9,1746.47
25,2,1270.06
60,10,3488.85
26,4,1236.32
27,2,1236.41
74,7,4932.02
89,4,7480.56
77,9,5508.58
99,9,10182.39
107,9,12881.29
34,7,1678.66
43,3,2124.29
119,6,18082.29
34,7,1704.81
40,1,1726.77
116,5,16448.67
15,8,1164.57
36,4,1662.77
78,5,5404.55
51,9,2742.99
7,2,677.4
52,7,2763.17
42,4,1961.28
56,2,2798.81
36,3,1647.39
21,5,1219.69
12,8,1138.32
108,5,13030.12
14,2,760.92
81,5,5853.65
41,10,2176.06
86,7,6895.59
10,9,1089.81
48,5,2319.93
100,5,10271.64
1,9,918.82
6,3,742.59
94,7,8768.96
42,10,2243.16
48,9,2549.77
61,1,3195.61
115,7,16053.97
104,5,11567.89
109,9,13700.38
17,3,910.21
42,4,1941.18
20,3,1043.82
8,3,811.37
22,10,1526.3
119,7,18180.32
71,8,4675.5
48,1,2198.35
42,1,1868.07
8,9,1038.7
31,5,1406.71
26,10,1644.6
119,7,18162.66
5,2,647.52
78,5,5462.84
112,3,14505.85
38,9,2042.4
115,2,15882.21
97,4,9419.3
93,9,8567.28
81,6,6006.86
71,5,4518.78
50,1,2293.12
40,2,1777.99
61,1,3220.16
8,9,1111.24
67,5,3958.96
103,4,11264.19
24,6,1327.14
28,5,1432.53
68,2,3957.98
74,6,4962.47
25,10,1562.68
87,1,6927.49
64,10,3890.6
56,4,2774.78
48,7,2455.62
86,3,6702.08
14,1,744.52
97,8,9585.1
95,2,8725.41
4,9,1068.58
107,2,12516.28
101,1,10389.25
47,1,2090.32
89,1,7326.62
79,2,5418.82
52,3,2506.6
120,10,18855.8
77,6,5313.1
84,1,6245.26
115,5,15999.13
60,9,3535.5
6,6,867.25
39,7,1978.98
78,2,5260.98
20,3,1066.51
88,5,7208.36
34,8,1804.25
59,5,3217.36
37,3,1689.79
42,7,2096.21
11,9,1108.7
80,3,5735.96
42,2,1919.63
91,10,8099.15
26,6,1365.63
76,1,4914.43
23,1,1173.25
71,6,4526.38
24,10,1566.23
76,6,5293.36
72,3,4521.68
114,8,15684.19
92,2,7972.41
28,4,1310.51
28,7,1535.27
14,7,1139.06
52,9,2838.6
117,10,17247.25
9,3,730.74
74,2,4714.39
53,1,2565.54
8,7,1068.04
35,5,1698.12
48,1,2194.77
115,6,16069.41
11,3,868.56
67,7,4076.6
65,6,3866.7
16,2,843.15
21,1,952.44
101,6,10715.72
77,10,5508.05
49,1,2226.35
114,6,15620.69
97,2,9320.42
22,2,1118.07
68,6,4147.56
32,7,1658.1
91,1,7703.18
90,8,7885.26
51,6,2551.11
34,6,1574.94
84,9,6712.85
17,4,1060.1
26,4,1288.93
84,3,6445.19
58,8,3228.41
16,4,1025.11
36,6,1830.18
107,8,12809.26
28,3,1324.11
89,4,7391.26
89,4,7353.72
97,1,9271.73
106,4,12254.1
25,8,1507.5
84,3,6298.03
78,1,5276.37
91,7,8036.98
73,4,4717.99
37,1,1549.33
60,10,3484.28
92,1,7997.22
72,7,4668.64
64,1,3456.54
113,5,15076.32
114,5,15513.91
27,5,1426.31
65,7,3821.93
39,2,1556.96
96,6,9249.32
3,4,718.59
18,1,847.58
5,9,1109.91
77,6,5289.12
111,8,14370.27
81,7,6065.52
85,6,6737.85
7,9,1150.53
3,4,756.8
91,6,8053.86
79,4,5553.29
117,4,16863.15
21,5,1146.5
13,9,1267.43
78,5,5429.53
39,7,1951.03
102,9,11147.31
10,7,1069.26
31,3,1442.67
30,9,1688.7
4,2,626.3
92,7,8258.76
32,10,1815.21
43,1,1806.6
2,2,628.24
95,9,9147.08
20,8,1315.34
7,9,1038.06
75,1,4820.3
57,6,3051.39
88,3,7209.18
13,6,1054.66
26,10,1657.73
120,7,18757.64
108,8,13150.41
87,6,7095.45
75,6,5029.58
30,6,1560.7
1,5,799.68
92,5,8092.26
66,7,3967.73
29,3,1371.22
48,7,2433.95
96,2,9032.26
77,3,5214.36
80,2,5730.07
56,4,2855.71
18,4,1080.41
73,7,4844.15
32,6,1599.53
24,6,1289.69
51,4,2502.62
1,1,679.42
34,1,1389.83
28,6,1476.25
24,7,1382.49
75,10,5137.05
24,8,1445.76
70,4,4290.56
85,9,6867.13
94,8,8819.86
21,8,1347.12
27,2,1248.51
98,4,9687.28
22,3,1113.04
52,3,2517.46
118,5,17574.66
4,3,692.06
62,7,3625.46
40,8,2079.21
1,2,596.53
69,7,4253.46
82,4,6114.82
29,2,1242.64
71,2,4278.1
9,9,1099.59
9,9,1051.31
7,10,1108.16
59,1,3073.77
7,7,1063.35
25,3,1167.37
77,2,5094.24
6,3,781.74
8,2,771.2
82,7,6160.58
51,1,2315.12
37,8,1884.05
91,6,8058.26
87,4,7114.6
17,10,1376.57
98,7,9761.36
46,6,2329.48
29,9,1607.25
10,1,714.91
84,7,6470.61
33,10,1866.16
109,2,13286.33
73,7,4822.82
92,6,8253.71
62,4,3382.54
26,6,1317.4
93,2,8312.03
45,9,2435.95
24,7,1442.04
53,8,2861.06
46,9,2494.38
14,6,1167.72
95,4,8896.4
117,2,16821.54
84,5,6582.02
113,8,15218.09
8,7,994.33
119,7,18116.84
78,9,5552.44
50,5,2538.79
102,4,10855.5
37,6,1858.72
85,2,6492.96
55,5,2789.12
60,9,3469.93
2,7,854.99
17,9,1332.26
60,7,3451.67
36,5,1678.21
53,1,2518.43
40,1,1706.35
115,3,15995.01
93,3,8387.55
34,9,1816.84
86,1,6636.73
69,5,4256.36
62,9,3640.49
71,6,4472.72
36,8,1898.03
120,7,18701.75
97,5,9455.33
46,6,2330.76
48,5,2327.4
73,6,4791.4
3,6,807.18
88,9,7429.38
101,2,10373.96
51,4,2505.17
83,7,6353.97
80,2,5641.52
27,5,1448.12
59,4,3150.68
28,4,1342.64
5,6,993.02
5,4,805.79
21,4,1045.02
79,9,5840.83
44,6,2213.43
18,7,1215.12
108,10,13305.9
109,6,13413.12
39,5,1899.12
88,4,7156.31
103,9,11443.26
105,2,11800.15
68,8,4287.53
58,7,3229.72
6,6,897.88
90,6,7734.28
83,5,6258.51
46,9,2356.77
90,10,7882.37
85,4,6578.24
51,10,2878.3
85,8,6798.59
36,1,1459.27
99,7,10050.5
12,9,1160.52
59,3,3063.16
108,10,13280.49
22,5,1117.21
36,7,1837.57
8,2,693.0
81,9,6120.4
86,2,6715.83
40,5,1836.92
40,7,2008.7
70,3,4262.98
78,1,5302.67
49,6,2483.93
119,3,17941.4
24,4,1234.07
118,7,17549.69
105,2,11726.29
26,8,1562.63
31,4,1374.37
77,3,5137.72
9,10,1196.49
4,2,729.33
42,8,2140.35
28,9,1580.22
79,6,5648.72
35,3,1599.25
76,10,5422.28
98,4,9650.86
91,1,7729.19
70,3,4178.49
26,5,1340.98
45,1,1987.25
34,1,1520.97
20,3,1029.87
97,4,9327.99
49,1,2209.58
8,5,916.34
118,7,17541.79
73,2,4478.57
65,4,3693.32
112,6,14763.89
57,1,2769.67
106,3,12179.6
3,5,791.02
25,9,1440.86
9,8,1031.38
5,1,619.37
11,9,1111.68
100,7,10443.86
69,1,3923.5
107,5,12604.54
70,2,4163.11
45,5,2148.61
68,10,4332.81
87,3,7001.01
54,8,2936.26
44,5,2181.04
25,4,1206.95
117,1,16725.7
18,3,1014.64
54,3,2685.16
112,10,14801.38
90,9,7875.92
113,5,15065.17
1,8,852.11
80,2,5570.99
54,6,2881.95
82,7,6289.01
117,9,17165.22
10,9,1151.91
92,2,7992.48
85,2,6466.16
103,1,11071.77
105,9,12109.24
55,10,3033.95
91,5,8025.4
32,3,1452.51
44,6,2122.67
85,5,6695.88
78,9,5671.17
43,5,2121.36
71,10,4706.24
108,9,13195.15
8,10,1127.73
108,10,13231.78
44,4,2053.64
66,4,3750.84
40,7,2009.75
35,5,1711.83
113,8,15245.67
52,1,2433.16
58,1,2907.93
69,3,4195.41
118,10,17725.71
80,4,5700.42
89,2,7277.43
110,7,13833.37
117,10,17229.26
69,3,4112.59
20,1,965.03
77,4,5242.85
13,9,1108.91
57,8,3167.3
68,4,4000.65
35,7,1902.2
33,8,1741.03
15,10,1308.69
53,4,2675.35
39,9,2038.59
110,2,13714.73
85,9,6767.59
53,6,2734.76
96,7,9240.2
76,2,5020.59
71,7,4462.41
80,1,5626.62
36,4,1660.23
50,5,2513.68
72,4,4520.66
54,5,2806.56
54,4,2693.27
20,8,1290.16
44,7,2183.97
115,10,16259.75
37,2,1638.8
119,2,17850.2
47,10,2558.69
87,10,7294.37
16,9,1277.86
37,9,1899.49
69,6,4316.75
1,1,538.56
25,9,1442.89
78,3,5352.86
10,5,926.55
75,10,5298.84
13,7,1141.98
15,10,1221.91
2,8,926.53
95,2,8719.41
17,2,963.8
37,5,1751.52
47,6,2324.56
48,5,2419.98
63,1,3364.94
72,2,4492.08
15,10,1181.94
100,6,10324.02
46,5,2226.56
14,8,1145.71
32,1,1349.81
115,4,15949.08
8,5,881.51
56,9,3161.55
3,2,669.89
56,7,2924.71
105,6,12032.36
107,7,12794.7
68,6,4105.77
105,8,12028.63
33,1,1390.2
23,8,1463.22
91,2,7736.91
96,2,8977.82
88,8,7405.9
95,10,9230.08
47,5,2258.03
109,1,13214.51
112,4,14601.43
72,5,4581.98
112,3,14518.9
67,7,4022.29
71,6,4561.74
63,4,3554.62
16,6,1062.68
24,10,1535.49
5,5,857.08
56,10,3172.53
83,7,6274.99
93,7,8463.55
45,4,2154.83
99,5,10005.24
16,10,1323.55
16,3,912.07
51,8,2666.92
87,9,7233.37
75,7,5089.93
67,10,4199.24
40,10,2199.01
58,6,3155.64
104,9,11787.32
77,7,5417.66
27,5,1384.53
17,3,1108.73
5,1,586.21
89,4,7480.48
86,2,6772.26
8,7,940.78
35,6,1755.89
111,6,14149.53
38,9,1984.61
91,10,8119.22
74,6,4856.24
71,1,4284.89
96,3,9107.04
111,1,13990.95
75,7,5107.44
80,9,6006.36
58,3,2997.16
29,7,1576.4
55,4,2800.12
69,1,4075.88
65,3,3688.96
81,1,5781.19
95,3,8807.04
81,10,6211.39
116,1,16220.27
36,1,1482.41
12,2,856.78
113,5,15132.79
111,1,14026.97
120,4,18465.36
52,6,2672.49
83,2,6172.58
96,10,9367.18
74,3,4800.58
106,2,12123.21
23,4,1224.9
47,8,2384.88
98,9,9858.83
44,7,2182.92
58,1,2900.23
9,10,1277.78
24,10,1565.99
2,6,878.47
32,7,1640.02
112,9,14859.77
12,5,1009.31
12,3,843.52
82,7,6211.54
9,6,1036.73
58,8,3191.09
42,5,2045.65
57,1,2775.64
48,3,2225.7
26,3,1206.35
58,10,3305.92
105,6,11958.72
76,6,5226.97
86,4,6751.95
92,4,8015.1
93,9,8610.27
53,4,2681.58
120,2,18357.56
45,4,2096.74
115,1,15709.56
6,3,738.73
118,1,17186.44
54,9,2888.52
4,10,1151.34
54,10,3041.38
118,1,17328.73
108,9,13223.88
102,6,10979.28
8,2,724.2
6,10,1161.65
31,6,1548.39
77,1,5199.82
36,9,1907.9
3,2,701.37
9,10,1166.3
4,4,803.41
43,5,2062.1
113,6,15077.32
29,1,1214.49
9,5,901.55
20,9,1370.66
119,2,17854.65
27,4,1400.43
115,3,15978.53
94,8,8809.06
79,1,5384.18
14,10,1246.73
92,6,8248.85
67,6,4048.94
34,7,1714.6
75,6,5024.19
92,3,8134.86
91,1,7632.64
50,2,2288.38
80,7,5982.62
24,3,1136.3
98,9,9779.06
98,1,9595.45
55,2,2762.99
99,5,9952.87
35,10,1942.64
59,7,3168.0
100,2,10069.11
9,5,895.19
29,4,1384.81
95,3,8818.37
77,9,5485.8
76,3,5078.54
99,9,10212.93
30,7,1515.28
94,1,8320.74
85,8,6812.44
53,8,2732.8
2,2,651.64
98,6,9806.69
88,2,7167.13
60,8,3426.97
79,1,5390.2
5,10,1037.35
7,2,668.01
118,6,17511.13
94,10,8938.96
11,10,1231.86
